Оценка,Положительный отзыв,Отрицательный отзыв
10,"D'abord, le personnel est vraiment charmant et efficace. Un vrai plaisir de les cotoyer. Ensuite l'emplacement, à deux pas de la station d'Earl's court, ce qui est très pratique comme point de départ pour visiter la ville. Pour finir, excellent petit déj.",Отрицательный отзыв отсутствует.
10,tout,rien
10,"Tout., j'ai passé un très bon séjour dans cet hôtel avec un personnel dévoué et très a l'écoute du client.
Merci à tous..
Alexander et Valérie",Rien.
10,"L'emplacement parfait dans une rue calme et à 2 minutes du métro..
Le personnel de l'hôtel très sympathique et serviable.
J'y retournerai volontiers lors d'un futur voyage.",Rien.
10,"מיקום נוח ומרכזי, קרוב מאוד לתחנת רכבת, שכונה שקטה ונעימה , צוות מאוד אדיב ושירותי","איכות האינטרנט בחדר היתה לקויה מאוד, חוץ מזה היה נפלא !"
10,Le personnel est aux petits soins. Idéalement situé à 2 minutes de la station de metro Earl court ou passent 3 lignes idéal pour visiter Londres. Restaurants à proximité.,Отрицательный отзыв отсутствует.
10,"Hotel sencillo, cómodo, limpio y muy bien comunicado. El personal excelente , la habitación como mafia y muy silencioso. volvería sin duda",Отрицательный отзыв отсутствует.
10,"Konum, temizlik ve calisanlar harikaydi",Отрицательный отзыв отсутствует.
10,"Lo que más me gustó fue la tranquilidad y el silencio en el hotel.,aunque el desayuno estaba muy bien. Hice una reserva con varios meses de anticipación y solicité una habitación en una planta elevada. Me dieron la última planta y fue perfecta: cómoda,silenciosa y calentita..",Отрицательный отзыв отсутствует.
10,"מלון מצוין. מחיר טוב. מיקום טוב ביחס למחיר. 
די צמוד ל- earl's court underground station. 
יש מגבות בחדר, יש מקלחת עם ראש פינוק. מים חמים וזרם טוב. רצפה מחוממת במקלחת. חדר נקי ופינת קפה בחדר ללא תשלום נוסף. נוף אין אבל יש חלון לרחוב. 
בשביל לישון זה יותר ממספיק. צוות אדיב ונעים. 
יש קפה ומאפיה נהדרת בקצה הרחוב מול תחנת הטיוב. שווה ביקור.",להגיע למרכז העיר איזור טוטנהאם סטיישן / אוקספורד צריך להחליף 2 רכבות בטיוב. כשמתרגלים זה סבבה.
10,"zentrale Lage und trotzdem ruhig, sauber, freundliches Personal",Отрицательный отзыв отсутствует.
10,"O atendimento é impecavel. Funcionários simpaticos, bem treinados e sempre à disposição.

Eu esqueci o meu carregador de laptop e eles enviaram pelos Correios.

Atendimento excelente. Recomendo",O hotel é perfeito
10,La habitacion,"No hablaban español, es lo de menos pero lo ponen en la descripcion, eso no quita que el trato excelente, volveria."
10,supervriendelijk personeel,Отрицательный отзыв отсутствует.
10,Jag åt tyvärr inte frukost på hotellet så ja kan inte uttala mig.,Отрицательный отзыв отсутствует.
10,"Excelente experiencia! La habitación , el staff, las instalaciones y la ubicación increíbles !",Отрицательный отзыв отсутствует.
10,"فندق هاديء ومريح ،نظيف ،الطاقم متعاونون جداً وفيه ناس لطيفة جداً ،في نفس الفندق مطعم هندي لذيذ وحوله خدمات كثير ومقاهي قريب جدا paulحجم الغرفه معقول طبعا ً اسمه لدى اوبر وعشان توصلون له مو مثل بوكنج مكتوب parkgrand london،راح اعيد التجربه فيه ,قضينا فيه ايام سعيدة وجميله واتمنى تتكرر💗",بعض الاحيان ماينظفون الاكواب لين نبلغهم يرتبون الغرفه فقط
4,"schoon, leuke locatie dicht bij metro en ontbijt tentjes pubs, rustige staat. vriendelijke personeel. bed okk prima voor lange mensen ( boven 1,90) te kort.",prijs kwaliteit we sliepen in een kelder
10,"Ik heb dit hotel geboekt als cadeau voor de 18de verjaardag van mijn dochter. Ze mocht voor ´t eerst zonder ons weg.
Toen ze op de kamer kwam, bleek die prachtig versierd voor haar verjaardag. Dat was echt schitterend en werd bijzonder geapprecieerd. Alles was verder is orde.",Отрицательный отзыв отсутствует.
10,هادي ومريح وحي راقي وفخم قريب من المترو ومن المطاعم والسوبرماركت,nothing
10,قريب من محطة مترو Earls court راقي وهادئ وفخم قريب من المطاعم والسوبر ماركت,nothing
10,قريب من المترو وبعض المطاعم مثل Paul والسوبرماركت حي هادئ وراقي قربه من محطة مترو Earls court,nothing
10,"Gentilezza e disponibilità dello staff
Vicinanza alla metro 
Pulizia",Niente
10,"Personnels gentils et à l’écoute 
Emplacement super. A 3min à pied de l’arrêt de métro Earl’s Court","Chambre assez petite mais fonctionnel
Pas de Balcon"
10,"hele goede locatie, metro op Max 5 min afstand. mooie, grote kamer, schoon, lekkere douche, personeel super klantvriendelijk en aardig",niets
10,El personal,Que no cambiaban las sabanas
10,"Erinomainen sijainti rauhallisella alueella, lähellä Earls Courtin ja Glouchester Roadin metroasemia. Lähellä ruokakauppoja, ravintoloita, pubeja. Huone oli siisti ja riittävän suuri kahdelle. Huoneessa oli jääkaappi ja mikro, kaksi maksutonta vesipulloa ilmestyi huoneeseen joka päivä siivouksen yhteydessä, lisäksi vedenkeitin ja valmistusaineet lämpimiin juomiin (emme käyttäneet, joten en osaa sanoa, mitä vaihtoehtoja). Huoneessa oli siistiä ja itse säädettävä, toimiva (!) ilmastointi, kampauspöytä ja tuoli, nojatuoli, matkalaukkuteline ja pieni vaatekaappi, jossa hengareita. Vuode oli mukava, olisiko ollut hitusen kapeampi kuin perinteinen parivuode. Pistorasiassa oli valmiina erilaisia vaihtoehtoja töpseleille, joten adapteria ei tarvittu. Kylpyhuoneessa amme, jonka päällä tavallinen suihku + rainshower, hyvä vedenpaine, kylpypyyhkeet, käsipyyhkeet, lattiapyyhe, hiustenkuivaaja, shampoo, hoitoaine, suihkusaippua ja suihkumyssyt. Hotellin ja huoneiden tyyli moderni. Aamiaisella oli juuri sopivasti valikoimaa sekä perinteisen lämpimän aamiaisen ystävälle, kuin mannermaisesta aamiaisesta enemmän pitävälle. Ruoat oli laitettu hyvin esille, ravintola oli siisti ja henkilökunta ystävällistä. Ehdottomasti menisin tähän hotelliin uudelleen.",Отрицательный отзыв отсутствует.
10,"a agilidade dos funcionários em estar prontos para nós ajudar com o táxi, os mesmos foram atenciosos com o idioma, sempre prontos a nos entender.","não
tem"
10,"Su tranquilidad y silencio, la comodidad de la cama, el ventanal, el barrio, sus comunicaciones y una relación calidad precio aceptable dentro de la relatividad de los precios londinenses.",Отрицательный отзыв отсутствует.
10,La atención del personal. Nos ayudaron en todo y con la mejor actitud siempre. Super amables.,"Un vecino ruidoso, pero el personal lo soluciono, nos cambiaron de habitación y todo excelente"
10,"Très bon emplacement, très propre, personnel très aimable, très bon rapport qualité-prix.",Rien.
10,"Freundlichkeit des Personal durchweg überdurchschnittlich und herausragend, DANKE, besonderer Dank an Anna für das frühere Einchecken!
Das Frühstück war definitiv eines der besseren in London, es hat geschmeckt!","Dazu fällt mir nichts ein... EVTL. sollte man jedoch mal schauen, ob die Duschabtrennung in Zimmer 217 ein wenig mehr abgedichtet werden kann, da nach dem Duschen so ziemlich das ganze Bad unter Wasser stand, aber das ist Jammern auf sehr hohem Niveau!
Ich habe mich SEHR wohl gefühlt. Noch einmal DANKE!"
10,التعامل والنظافة والمطعم الهندي الموجود فالفندق,دورات المياة لايوجد بها شطاف
10,"Chambre spacieuse avec une entrée privée , calme et lumineuse . le linge en quantité et qualité.
 Petit déjeuner et diner excellents.
Emplacement excellent à deux minutes du métro.",pour ma part RAS
10,la vicinanza alla metro,Отрицательный отзыв отсутствует.
10,"Fomos muito bem recebidos, os trabalhadores do hotel são muito simpáticos.
A localização do hotel é muito boa, tem a estação de metro muito perto numa zona com muitos cafés e restaurantes.",Não houve nada que não tivesse gostado.
10,الطاقم ممتاز جدا والمو قع ممتاز ثريب من كل شي بقالات مطاعم مغاسل حلاقين,اول يوم حطوني في البادروم كانك في قبر وزعلت عليهم اواعدوني بكرى يغيرون الغرفه وغيروها بغرفة كبيرة وحلوة لاني جيتهم بوقت زحمة مره
10,"Erg hygiënisch, vriendelijke staff, luxe uitstraling",niks
10,"Hotel a due passi da Earl Court Station.
Colazione continentale disponibile con piccola pasticceria di buona qualità.
Personale alla Reception che parla Italiano.
Tutto lo staff molto gentile e disponibile.","Considerata la presenza di una macchina caffè e i tanti turisti italiani ed europei, servire il caffè espresso aggiungerebbe altre valutazioni positive per la colazione che peraltro è di buona qualità."
10,"fint hotell med personal som var veldig tilstede for oss hele oppholdet 😊 godt renhold, enkel og grei frokost. rent og fint. grei beliggenhet",litt kaldt på badet om natten. den store sengen gled litt fra hverandre når vi spv
10,كل شيء,لا شيء
10,det var mycket fräscht och trevligt,Отрицательный отзыв отсутствует.
10,super posizione…bella stanza pulita …,Отрицательный отзыв отсутствует.
10,نظافه,نظافه
10,"Odličen zajtrk, osebje, ki mu je mar za gosta, top lokacija z dobrimi povezavami.",/
4,situation et calme,"chambre dans le sous-sol, sans fenêtre et…sous le trottoir et la rue!!"
10,Molto pulito stanza un po piccola ma accogliente,Dimensioni della stanza
10,Virkelig fint hotel,Отрицательный отзыв отсутствует.
10,"läget, rent, trevlig och hjälpsam personal. fin omgivning med flera trevliga fik, pubar och nära både till Earls Court och Hyde park/kensington gardens.",ganska dyrt
10,"wir haben einen club zimmer (nr110 erster stock) reserviert! ohne frühstück 
das zimmer war sehr sauber auch die vielen spiegel alle streifenfrei! steckdose für alle ladegeräte vorhanden (europäische englische und americanische)!! kaffe tee und eine mikrowelle stand zu verfügung ,eine mini bar die jeden tag mit 2 flaschen wasser gefüllt wurde sehr gut ! wir sind schon 20 mal in london gewesen und so einen riesen bett noch nie gehabt !! ich dachte schon sowas hat in london warscheinlich nur die queen !!!! haben geschlafen wie babys :D ! bei gelegenheit werden wir wieder kommen und das gleiche zimmer nehmen !
 PS : alles was man braucht ist in der nähe , pubs kaffes restaurants , und die tube !ich kanns nur empfählen!!",eine Kleinigkeit vielleicht was aber uns nicht gestört hat !keine steckdose für das handy am bett !
10,"Hotel bien placé, personnel agréable et bienveillant, chambre spacieuse, propre et confortable !",Отрицательный отзыв отсутствует.
10,localizarea,foarte frig la restsurant
10,"הכל, המיקום מצויין, שתי דקות הליכה מתחנת Earl's court, הצוות היה חביב ביותר ועוזר במיוחד, החדר מרווח ונקי, יש קומקום חשמלי עם קפה וסוכר וחלב, מיקרוגל, מקרר, כספת, חלוקי מקלחת ונעלי בית, אפילו מגהץ וקרש גיהוץ ופן. בלובי יש תמיד קפה חופשי ועוגיות. ארוחת הבוקר היתה מגוונת וכללה גבינות, נקניקים, מעדנים, ביצים, ירקות, עוגיות, אפשר להכין טוסטים ופירות. מומלץ ביותר.",.
10,"Staff molto cordiale e disponibile, camera pulitissima. Ci torneremo di sicuro!",Отрицательный отзыв отсутствует.
10,"Posizione perfetta a 2minuti dalla metro .
Quartiere molto bello , ottimo per girare Londra anche se si hanno pochi giorni",Отрицательный отзыв отсутствует.
10,posizione,pulizia
10,"Buena localización, limpieza diaria de la habitaciones, personal muy amable y simpático.",Precios un poco elevados.
10,El personal es muy amable,Отрицательный отзыв отсутствует.
10,كل شي كان حلو والرسبشن متعاونين و سريعين و قريب من الشارع الرئيسي ويوجد محطة قريبه وهارودز قريب ويوجد محل هندي حلال بالفندق اكله حلو ويوجد خدمات قريبه,كل شي كان حلو الحمدالله
10,"très bon accueil, le personnel parfait",Отрицательный отзыв отсутствует.
6,スタッフの対応も親切で、部屋にクッキーやチョコレートが置いてあり、清潔感もあった。,"オートロックではないので、施錠が心配。
また、電気がどこのスイッチを押しても消えず、困った。"
10,"-Silencio en las habitaciones 
-Cama súper cómoda 
-Ducha calentita
-Amabilidad del personal
-Hacen la habitación todos los días 
-Ubicación (hay de todo alrededor)",Nada
10,"Der freundliche Service, die Lage und das komfortable Zimmer",Отрицательный отзыв отсутствует.
10,قربه من هارودز بالتاكسي اقل من 10 دقائق تظيف يقدمون نشروبات مجانيه بالغرفه قاموا بترقية غرفتي الي اوسع غرفه من الي حجزتها جميل والسرير مريح ويوجد ماكرويف وكلشي متوفر بالغرفه ونظيفه جدا جدا بصراحه تندمت انني قمت فيه فقط ليله يستحق اكثر,لاشيء
10,قاموا بترقية الغرفه الي غرفة club اكبر واوسع والمشروبات الماء والغازيه كانت بدون مقابل ووضعوا لنا بالونات وقطع كاكاو علي زينوا الغرفه لاننا اول مره نسكن فيه والموظفون خدومين وودودين حتى عند مدخل الفندق يضعون الشاي والقهوه والحلويات للنزلاء بصراحه ولا اروع,لاشيء
10,gentillesse du personnel à l’accueil,rien
10,Rooms,Отрицательный отзыв отсутствует.
10,L’hotel era molto accogliente e pulito,Отрицательный отзыв отсутствует.
10,كل شيء جميل من فندق ونظافة واهتمام بالنزيل ومن موظفين انصح الجميع بهذا الفندق 👍🏻,Отрицательный отзыв отсутствует.
10,everything is very very good 👍🏻,Отрицательный отзыв отсутствует.
10,"كل شي جيد في الفندق من الرسبشن و العمال تعاملهم بكل ترحيب 
لا يوجد اي شكوى او ملاحظه اشكرهم كثيرااا كانت اقامة مميزه",لا شي
10,Lokacija je odlična jer je blizu Earls court podzemne stanice i doručak.,Loš wifi
10,"proche du métro 
propre personnel de la réception très qualifié","le personnel du restaurant était nul, et le restaurant/petit déjeuner était très moyen"
10,"La amabilidad y calidad, precio excelente",Todo me gustó
10,"Sehr gutes Hotel mit hohem Standard und Top Lage. Gutes englisches Frühstück in Buffetform, sauberes, und für Londoner Verhältnisse großes und geräumiges Zimmer, sehr freundliches Personal.",Отрицательный отзыв отсутствует.
10,Tout était parfait le personnel serviable et disponible. A chambre propre spacieuse et agréable. C’était l’anniversaire de mon mari et nous avons était surpris par l’accueil reçu par l’ensemble de l’équipe.Autour de l’hôtel bar et restaurant en abondance. Très agréable environnement. Je recommande vivement 10/10,"Tous la situation géographique, le confort de la chambre et la disponibilité du personnel tout était parfait."
6,"Freundlich 
Gute Lage","Dusche defekt
Frühstück eher mäßig, Kaffee schlecht"
6,Nära tunnelbanan. Lätt att ta sig till city.,Brandlarm 04.30 pga tekniskt fel.
6,Das Bad war für Englische Verhältnisse sehr modern. Dusche sehr geräumig.,"Die Matratzen sind sehr weich wenn nicht sogar durchgelegen.
Wir wollten die Rechnung auf meinen Mitreisenden ausgestellt bekommen, nach dem dritten Tag und mehrmaligen Erinnern erhielten wir dass die Rechnung. 
Zimmer sind sehr hellhörig"
6,"La salle de restauration est agréable,
Hôtel bien situé",Отрицательный отзыв отсутствует.
5,Très bien situé,Service moyen
3,"L acceuil, le petit dejeuner, la localité","Chambre trop petite (tres!), couloir interminable, chambre tres mal placé dans l hotel, lumiere verte du plafond qui est allumer toute la nuit devant la porte de la chambre"
6,Veldig god beliggenhet til undergrunn og rolig område.,"Veldig enkel frokost, står ikke til prisen."
5,Положительный отзыв отсутствует.,"Die gesamte Einrichtung sehr in die Jahre gekommen, das Personal wortkarg, Frühstück war mager und angetrocknet. Die Hygiene war schlimm, man fühlte sich nach dem Duschen nicht unbedingt sauberer als vorher."
10,A pesar que la habitación era pequeña estaba bien equipada,Las viviendas de la cuadra
4,Sentralt,"Iskaldt bad, og personalet var ikke så hyggelig"
6,ロケーション,"宿泊中、停電、断水になり、
特に断水はトイレが流せなくなり困った。"
6,De kamer was schoon en hygiënisch. Ik had een tweepersoons bed en een badkamer met regendouche. Dichtbij de locatie zat de metro en brengt je in 15 tot 20 min naar alle toeristische trekpleisters.,"Het personeel was niet heel erg hartelijk. Ze spraken je niet aan als je het hotel binnen kwam en hadden een bepaalde arrogantie. Enkel de blonde mevrouw was altijd erg vriendelijk, hartelijk en erg behulpzaam. Het ontbijt veel ons tegen. Er was wel keuze maar denk dat het niet onze smaak was. Daarom zijn we ook weleens elders gaan ontbijten. Ga niet voor de superior kamer als je ruimte wilt want het was een hele kleine kamer en erg warm. Ik ben namelijk voor een upgrade gegaan. Dit koste wel 200 pond voor een week extra."
6,L'emplacement est top à côté du métro et restaurants.,"La climatisation ne fonctionnait pas dans notre chambre, plusieurs personnes sont venus nous dire qu'il fallait attendre 15min à chaque fois pour sentir de l'air (qui était chaud). Nous avons pu changer de chambre seulement le lendemain car effectivement la clim de marchait pas.
Très peu de choix pour le petit déjeuner (autant pour le salé que le sucré), pas de chocolat chaud, c'est dommage pour un hotel 4* qui est soit disant réputé pour ça..."
6,"Makkelijke locatie, inchecken en uitchecken snel","Kamer viel erg tegen vergeleken met de foto's en voor deze prijs. Erg gedateerd, veel schimmel, vlekken in de vloerbedekking, geen optie om een raam open te zetten. Ok voor een nachtje, maar alles bij elkaar de prijs niet waard."
3,Nära tunnelbanan,Frukosten
10,Τοποθεσία. Προσωπικό.,Отрицательный отзыв отсутствует.
5,Положительный отзыв отсутствует.,pas d eau chaude deux jours de suite
6,"La literie était bonne. L'équipement de la salle de bains était efficace, avec une grande baignoire.","Peu de rangements disponibles dans la chambre, une télé qui ne fonctionne pas lorsque l'on arrive. Dans un hôtel de ce standing, on peut s'attendre à que ce soit vérifié. Le ménage n'est pas fait régulièrement, en témoigne la saleté sur le bord de la douche, à l'extérieur comme à l'intérieur. Enfin, une fenêtre sur les deux était cassée, nous ne pouvions qu'à peine l'ouvrir. Globalement déçu quand on paye ce prix là à la nuit..."
5,Положительный отзыв отсутствует.,"Stanze poco insonorizzate, sono stata svegliata alle 5 di notte dall’acqua (credo della doccia del piano di sopra) che passava lungo il muro.
A Colazione si può ordinare come bevanda solo caffè americano anche L’Espresso viene considerato un extra"
6,"Très bon emplacement et accueil du personnel 
Petit déjeuner très classique et bon","Pas d ascenseur pendant 1 semaine pour un hôtel 4 étoiles c est très étonnant 
Chambre proposée plus spacieuse mais sans fenêtres"
6,Vicinanza alla metro,Ascensore rotto e due giorni a piedi per andare al 4 piano
5,"Det var trevligt miljön, mycket välstädat. Absolut bästa i området.",Vissa män i receptionen har svårt att acceptera vad kund har för vilja o behov för exempel vid bokning av taxi. Kanske flera paraplyer behövs.Eller att varje rum har sin..
3,"O hotel é próximo do metrô e a localização como um todo é muito boa, com todo tipo de restaurante perto e bastante segura.

O hotel é muito limpo e todo novinho, além disso os funcionários são bastante prestativos e educados.","Chegamos no hotel 1 hora da manhã, nos colocaram em um quarto que não tinham energia, somente as luzes funcionavam. Tomadas, frigobar, secador e microondas não funcionavam, não tínhamos nem como carregar o celular.

Nos trocaram de quarto e incrivelmente o quarto novo também não tinha energia, ninguém checou antes de nos trocar de quarto.

Reclamamos e tentaram nos convencer a esperar até 8 horas da manhã para nos colocarem em um novo quarto pois não tinham disponível, depois de desistirmos, exaustos e com fome, mudaram de ideia e nos trocaram de quarto novamente. O novo quarto era frio, tinha uma janela que entrava ar frio e não tinha jeito de resolver, mesmo com o aquecedor no máximo o quarto ainda continuava frio, a cama também parecia ser menor que uma cama de casal, até a coberta era pequena. 

Eu e minha esposa acabamos desistindo de reclamar, já era 4 horas da manhã quando fomos colocados em um novo quarto e se não fosse a ajuda de um os funcionário do hotel teríamos ficado com fome, acho que ele ficou com pena da nossa situação e nos ajudou a pedir uma pizza.

Em resumo, acabamos perdendo toda a manhã do dia pois só conseguimos dormir quando já era mais de 5 horas da manhã. Nossa viagem era curta e perdemos nosso planejamento do primeiro dia.

Também não gostei do café da manhã, mas isso foi uma peculiaridade minha. Era uma café da manhã com poucas opções e destinado principalmente a Britânicos, típico (feijão adocicado com ovo, bacon e linguiça). Acredito que poderiam considerar que muitos turistas não comeriam o que estava sendo oferecido. A partir do segundo dia decidimos comprar nosso próprio café, embora já havíamos pago pelo café nos 3 dias.

Acredito que nossa experiência tenha sido totalmente frustada pelo problema quando chegamos e espero que tenhamos sido excessão."
6,"Die Lage ist hervorragend ! wir waren schon häufiger in London, der Ausgangspunkt ist optimal! U-bahn Earl’s Court 150 meter entfernt!Die Zimmer waren sehr sauber, das Bett bequem, Bad sehr klein aber Fußboden Beheizt! Frühstück war in Ordnung.",Unser Zimmer war so verwinkelt das wär uns täglich verlaufen haben!
10,"Bra läge, bättre än förväntat trevlig hjälpsam personal.",Отрицательный отзыв отсутствует.
6,"+LAGE! U Bahn Sation Earl‘s Court in unmittelbarer Nähe. Mit der grünen Linie ist man schnell im Zentrum und an allen wichtigen Sehenswürdigkeiten!!! 
+ Zimmer waren sauber und Frühstück ausreichend für englische Verhältnisse","- wir buchten ein Doppelzimmer mit Fenster, bekamen aber ein Zimmer mit verplankten Oberfenster, das man nicht mal öffnen konnte. Daraufhin wollten wir das Zimmer tauschen, wo das Personal sehr lustlos antwortete „das alles besetzt ist und das ist nun mal eben so“. Booking.com versuchte die Unterkunft auch vergebens zu kontaktieren."
6,"Ottima posizione, stazione della metro a 2 minuti a piedi. La struttura è situata in una strada tranquilla, lontana dal traffico.
Personale professionale.
La pulizia degli ambienti è nella norma.","La camera è di dimensioni abbastanza contenute nonostante avessimo scelto una di categoria superiore.
Il letto un po’ troppo morbido e poco spazio per muoversi."
5,"Chuveiro bom, cama boa.","Quarto pequeno, elevador velho e demorado.
Sem nenhum luxo."
5,Lage und Ruhe,Zimmer im Keller ohne Fenster
1,Posizione e pulizia camera.,"Mi dispiace dare questa brutta recensione, se vedete i miei precedenti giudizi non ne ho mai fatti di così severi ma quello che è successo non mi era mai capitato in tanti anni di viaggio.
Sia all’arrivo che alla partenza la reception non ci ha tenuto i bagagli, dicendo che fosse una decisione del manager dell’hotel che è stata presa pochi giorni prima del nostro arrivo (8-10 dicembre).
Per chi come noi arriva la mattina presto (noi alle 9:00) e riparte verso l’aeroporto in serata (17:00) è un mancato servizio che può anche rovinare una vacanza, soprattutto in una città enorme come Londra.
Per nostra fortuna un hotel della stessa strada ci ha tenuto le valigie (gratis!) e ce la siamo cavata ma non ci si comporta assolutamente così. Il tutto accompagnato da risatine dello staff alla reception."
4,Nähe zur Ubahn ist extrem angenehm,"Es gibt keine Möglichkeit die Koffer dort zu lassen. Habe ich bis jetzt noch in keinem Hotel erlebt und macht es natürlich sehr mühsam wenn man etwas früher als Check-In ankommt. Für den Preis erwarte ich mir diesen Service. 
Mein Zimmer war im Keller ohne die Möglichkeit ein Fenster zu öffnen - wenig einladen und dadurch auch kaum Empfang- WLAN mangelhaft. 
Personal vereinzelt nett aber der Großteil eher unfreundlich bzw. wenig interessiert."
6,Posizione,Camere datate
10,"Trevlig och hjälpsam personal .
Vi har fått från början väldigt liten säng för två personer. 
Min man är 195 och jag är över viktig och behöver större säng . Utan att tveka hotellet ordnade annat rum med jätte stor säng och utan extra kostnad.",Bara en hiss
4,"O chuveiro é razoável, o quarto extremamente apertado e desconfortável, a cama péssima, o café da manhã, apesar de bem servido, apresentou dois preços diferentes um para ser pago no check-in e outro na hora da refeição.
O que salvou o hotel foi a simpatia e educação dos funcionários que sempre estão dispostos a ajudar e atender.","O quarto é extremamente pequeno, com uma cama péssima, o restaurante fecha muito cedo, não tem varal aquecido no banheiro o que deixa as toalhas sempre molhadas."
5,Buena ubicación. Desayuno muy limitado.,El precio no me gustó. Precio muy alto para el tipo de hotel y los servicios que ofrece.
6,"Alquilamos una habitación doble delux, era grande, pero se veía un poco dejada, había zonas en las que la moqueta estaba levantada. El cuarto de baño también era grande.","Que la habitación estaba en el sótano, y por no saber comunicarnos con ellos, y que sólo era para una noche lo dejamos estar, pero si fuera una estancia más larga evidentemente pediría cambio a plantas superiores. El desayuno no es tan variado como en otros hoteles."
4,l emplacement,"le cafe le matin est trop dilué
Un expresso est à la charge du client et
il n a pas ete proposé de realiser un cafe moins dilué"
5,Limpeza,Quarto sem janela
1,بوفية الافطار حلال,تعامل الموظفين سيئ وعند الوصول لايوجد تسجيل مبكر تم الانتظار مايقارب8 ساعات ، مكيف الغرفة لايعمل وتم ابلاغهم اكثر من مره ولايوجد تجاوب
5,Положительный отзыв отсутствует.,Le bruit extérieur
10,"Die Lage des Hotels ist ausgezeichnet-- nur wenige Meter zur nächsten U-Bahn Station.
Sehr freundliches Personal
Sauberkeit top
Betten sehr bequem
Größe des Zimmers ausreichend 
Beim Frühstück zwar wenig Auswahl, aber trotzdem gut",Heiße Schokolade muss beim Frühstück extra bezahlt werden
6,"La habitación bien, pequeña pero bien","La recepción antigua, el personal bastante descortés. La relación precio/ calidad es regular No volvería"
6,"Salle de douche, breakfast","Chambre sous sol avec barreaux, et cour sale. J'ai même une photo à votre disposition."
6,"Die Lage in der Nähe des U-Bahnhofs Earls Court ist super. Frühstück war grundsätzlich in Ordnung. Frisches Obst war vorhanden, Spiegeleier wurden auf Wunsch frisch gemacht. 
Das Personal ist freundlich.","Wir hatten zwei Zimmer gebucht. Ein Zimmer war okay. Das andere im Souterrain hatte kein Tageslicht, da das Fenster an der Decke und abgehängt war. Für den Preis war das Zimmer nicht in Ordnung. Wechsel war aber nicht möglich, da das Hotel ausgebucht war. 
Beim Frühstück war nur ein normaler Kaffee (sehr dünn) mit extra Milch im Preis inbegriffen; einen Cappuccino hätte man extra bezahlen müssen."
10,Mi è piaciuto tutto,Nulla forse la stanza era solo troppo piccola
5,"Sauberkeit, Freundlichkeit, Nähe zur U-Bahn Station","kleine Zimmer, wenig Auswahl beim Frühstück, teuer"
6,"Die Lage ist gut, sehr nah an der nächsten U-bahn Station.",Das Preis-Leistungsverhältnis stimmt nicht. Zimmergröße und Ausstattung für den Preis kaum angemessen. Das Personal wirkte oft genervt.
6,"Die personal waren freundlich und nett Hilfsbreit ,Lage war optimal ,ich kann das Hotel weiter empfehlen .
 Leider keine Deutsch sprachige Person .","erste Zimmer war viele motten überall und die Abfluss Wasser am Waschbecken war verstopft ,es wurde bescheid gesagt dann Zimmer gewechselt ."
6,pequeno almoço,nada a declarar
10,el personal,el cuarto pequeño
5,"Gute Lage (5 Min. zur U-Bahn, 15 Minuten ins Zentrum), ruhiges Zimmer, Frühstück überschaubar klein aber gute Qualität","Zimmer Sous-Terrain mit nicht öffenbarer Oberlichte. Ein Gefühl wie im Londoner Dungeon. Hotel auch schon in die Jahre gekommen (alte Teppiche,...). Frühstück mehr als überschaubar, nur eine Wurst-, Käse, Schinkensorte. Nur eine Gebäcksorte. Keine Nüsse, Samen etc. zum Müsli."
5,Hotellets läge ligger bra placerat det är nära tunnelbanan med bra promenadavstånd in mot stan.,"Mycket starka dofter i korridorer (parfymerade luftrenare) ej bra för astmatiker.
Bra att se över taxibolaget som hotellet använder för de känns inte förtroendeingivande då de ej håller utlovade priser (fixed rate) ville lura oss."
5,Zuvorkommendes Personal,"Fenster nicht dicht und Heizung zu warm, dadurch schimmel über den Fenstern."
10,"Posizione eccellente vicinissima alla metro Earl’s court. Camera molto carina, letto comodo.",Nessun receptionist parlava italiano
6,Hyvä sijainti lähellä Earl's Courtin asemaa ja siistit huoneet. Hiljainen sivukatu.,"Olimme varanneet kaksi Superior-huonetta hotellista. Meille yritettiin tarjota homeelta tuoksahtavaa huonetta kellarikerroksesta ilman kunnon ikkunaa ja näkymä parin neliömetrin 'sisäpihalle', joka siis oli tyhjä likainen 'sementtikaivo'. Seuraavaksi saimme huoneet toisesta kerroksesta sisäpihan puolelta, ikkunasta näkymä kahden metrin päässä olevaan tiiliseinään. Lopulta saimme huoneet viidennestä kerroksesta, pienillä ikkunoilla, mutta sentään taivas näkyi ja huoneeseen tuli luonnonvaloa. Toisen huoneen sängyssä oli vanha viettävä jousipatja ja kovat littanat tyynyt. Kannattaa varausvaiheessa pyytää huone vähintään kolmannesta kerroksesta ja kunnon ikkunoilla. Wifi toimi heikosti, jos ollenkaan."
4,Fin beliggenhet!,"Vi fikk rom i underetasjen, med et vindu ut i en bakgård, rett ved et fuglereir. Fuglene holdt oss våkne fra tidlig morgen. Det luktet også mugg i kjelleren. Frokosten var heller ikke veldig imponerende, det var tomt på nesten alle fat da vi kom til frokost."
6,"beliggenhed, gid seng, rent, karbad",lang labyrint for at komme til værelse
10,"Tutto lo staff gentilissimo, ringrazio specialmente Anna. 
Grandiosa!",Отрицательный отзыв отсутствует.
